2024-01-14 09:56:55,974 | main | INFO | Checking dates finished. Number of pages: 3
2024-01-14 09:56:55,989 | main | INFO | Getting the results
2024-01-14 09:57:05,209 | main | INFO | The results has been gotten
2024-01-14 09:57:05,212 | main | INFO | Exporting the results to Excel file
2024-01-14 09:57:18,925 | main | INFO | The results has been exported successfully
2024-01-14 12:19:01,832 | main | INFO | Running script
2024-01-14 12:19:12,925 | main | INFO | Open browser: The browser was opened successfully
2024-01-14 12:19:12,928 | main | INFO | Checking dates
2024-01-14 12:19:29,675 | main | INFO | Checking dates finished. Number of pages: 3
2024-01-14 12:19:29,684 | main | INFO | Getting the results
2024-01-14 12:19:39,379 | main | INFO | The results has been gotten
2024-01-14 12:19:39,390 | main | INFO | Exporting the results to Excel file
2024-01-14 12:19:57,891 | main | INFO | The results has been exported successfully
2024-01-14 12:19:57,895 | main | INFO | Starting downloading the pictures
2024-01-14 12:19:59,548 | main | ERROR | FAILED to download the pictures. Error: [Errno 2] No such file or directory: 'output/nyt_news.xlsx'
2024-01-15 19:50:04,849 | main | INFO | Running script
2024-01-15 19:50:22,882 | main | INFO | Open browser: The browser was opened successfully
2024-01-15 19:50:22,885 | main | INFO | Checking dates
2024-01-15 19:50:39,606 | main | INFO | Checking dates finished. Number of pages: 3
2024-01-15 19:50:39,606 | main | INFO | Getting the results
2024-01-15 19:50:49,184 | main | INFO | The results has been gotten
2024-01-15 19:50:49,200 | main | INFO | Exporting the results to Excel file
2024-01-15 19:51:04,452 | main | INFO | The results has been exported successfully
2024-01-15 19:51:04,465 | main | INFO | Starting downloading the pictures
2024-01-15 19:51:08,520 | main | INFO | The pictures has been downloaded successfully
2024-01-15 19:51:10,162 | main | INFO | The pictures has been downloaded successfully
2024-01-15 19:51:11,697 | main | INFO | The pictures has been downloaded successfully
2024-01-15 19:51:13,160 | main | INFO | The pictures has been downloaded successfully
2024-01-15 19:51:14,819 | main | INFO | The pictures has been downloaded successfully
2024-01-15 19:51:16,562 | main | INFO | The pictures has been downloaded successfully
2024-01-15 19:51:18,152 | main | INFO | The pictures has been downloaded successfully
